profile,config,p50_s,schema_valid_pct,paa_pct,era_pct,dci_mean,events
P0,Config A,16.02,78.57,0.00,100.00,0.98,14
P0,Config B,34.42,100.00,0.00,100.00,0.99,14
P1,Config A,13.19,85.71,50.88,100.00,0.99,14
P1,Config B,34.92,100.00,65.31,100.00,0.99,14
P2,Config A,13.65,85.71,34.69,85.71,1.00,14
P2,Config B,36.55,100.00,40.98,92.86,1.00,14
P3,Config A,11.82,71.43,28.00,100.00,1.00,14
P3,Config B,34.67,100.00,29.17,100.00,1.00,14
P4,Config A,13.63,85.71,80.00,100.00,1.00,14
P4,Config B,40.75,100.00,100.00,100.00,1.00,14
P5,Config A,12.70,100.00,77.42,100.00,1.00,14
P5,Config B,38.54,100.00,77.05,100.00,1.00,14
